Players,Sentiment Score,tov_per_game
aaron gordon,0.962,1.4
aaron holiday,0.2466,0.6
aaron nesmith,0.9653,0.9
al horford,0.119,0.8
alec burks,0.802,0.5
alex caruso,-0.3476,0.7
alex len,0.7535,0.7
amen thompson,0.836,2.0
amir coffey,0.8805,0.6
andre drummond,0.7003,1.4
andre jackson jr.,0.971,0.9
andrew wiggins,0.9337,1.7
andrew wiggins,0.9337,1.3
andrew wiggins,0.9337,2.7
andrew wiggins,0.9337,1.7
andrew wiggins,0.9337,1.3
andrew wiggins,0.9337,2.7
andrew wiggins,0.9337,1.7
andrew wiggins,0.9337,1.3
andrew wiggins,0.9337,2.7
anfernee simons,0.9707,2.0
anthony black,-0.714,1.8
anthony davis,0.8266,2.1
anthony davis,0.8266,2.2
anthony davis,0.8266,0.8
anthony davis,0.8266,2.1
anthony davis,0.8266,2.2
anthony davis,0.8266,0.8
anthony davis,0.8266,2.1
anthony davis,0.8266,2.2
anthony davis,0.8266,0.8
anthony edwards,0.0732,3.2
ausar thompson,0.9519,1.4
ayo dosunmu,0.0,1.5
bam adebayo,0.9598,2.1
ben sheppard,0.9403,0.4
ben simmons,0.9201,2.1
ben simmons,0.9201,2.7
ben simmons,0.9201,0.7
ben simmons,0.9201,2.1
ben simmons,0.9201,2.7
ben simmons,0.9201,0.7
ben simmons,0.9201,2.1
ben simmons,0.9201,2.7
ben simmons,0.9201,0.7
bennedict mathurin,0.5994,1.9
bilal coulibaly,0.9211,2.1
bismack biyombo,0.8591,0.9
blake wesley,0.4927,0.9
bobby portis,0.847,1.2
bol bol,-0.7964,0.6
bones hyland,0.0,1.1
bones hyland,0.0,1.2
bones hyland,0.0,1.1
bones hyland,0.0,1.2
bradley beal,0.5423,1.9
brandon clarke,-0.3901,0.6
brandon ingram,0.9236,3.8
brandon miller,0.8514,2.8
brice sensabaugh,0.9022,1.5
brook lopez,0.9348,1.0
bruce brown,0.8934,1.0
bruce brown,0.8934,1.1
bruce brown,0.8934,0.9
bruce brown,0.8934,1.0
bruce brown,0.8934,1.1
bruce brown,0.8934,0.9
bruce brown,0.8934,1.0
bruce brown,0.8934,1.1
bruce brown,0.8934,0.9
buddy hield,-0.5645,1.2
cj mccollum,0.8818,1.9
cade cunningham,0.0,4.5
caleb martin,0.5423,1.2
caleb martin,0.5423,1.4
caleb martin,0.5423,0.5
caleb martin,0.5423,1.2
caleb martin,0.5423,1.4
