seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,e_fg_percent,ft_per_game,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
31871.0,2025,5025.0,A.J. Green,,SG,25.0,3.0,NBA,MIL,66,6.0,22.7,2.5,5.9,0.423,2.1,5.0,0.414,0.4,0.8,0.473,0.601,0.3,0.4,0.833,0.2,2.0,2.3,1.5,0.5,0.1,0.6,2.2,7.4
31872.0,2025,5026.0,A.J. Lawson,,SG,24.0,3.0,NBA,TOR,19,2.0,17.3,2.7,7.1,0.381,1.3,4.0,0.316,1.4,3.1,0.466,0.47,1.2,1.8,0.647,0.7,2.3,3.0,0.8,0.3,0.2,0.4,1.5,7.8
31873.0,2025,5210.0,AJ Johnson,,SG,20.0,1.0,NBA,TOT,22,5.0,18.0,2.4,5.8,0.406,0.7,2.5,0.291,1.6,3.3,0.493,0.469,1.0,1.1,0.84,0.3,1.7,2.0,2.4,0.4,0.1,1.0,0.9,6.4
31875.0,2025,5210.0,AJ Johnson,,SG,20.0,1.0,NBA,WAS,15,5.0,23.5,2.9,7.3,0.404,0.9,3.3,0.26,2.1,3.9,0.525,0.463,1.3,1.5,0.87,0.5,2.0,2.5,3.0,0.5,0.1,1.3,1.3,8.1
31876.0,2025,4219.0,Aaron Gordon,,PF,29.0,11.0,NBA,DEN,45,36.0,27.3,4.9,9.3,0.528,1.5,3.2,0.459,3.4,6.0,0.565,0.608,2.6,3.3,0.799,1.5,3.3,4.9,3.1,0.4,0.2,1.4,1.6,13.9
31877.0,2025,4582.0,Aaron Holiday,,PG,28.0,7.0,NBA,HOU,56,3.0,12.8,1.8,4.2,0.432,1.1,2.8,0.386,0.7,1.4,0.526,0.561,0.6,0.7,0.825,0.2,1.0,1.3,1.3,0.3,0.2,0.6,1.0,5.3
31878.0,2025,4805.0,Aaron Nesmith,,SF,25.0,5.0,NBA,IND,39,31.0,25.0,4.2,8.3,0.505,1.8,4.3,0.423,2.4,4.0,0.594,0.615,1.5,1.7,0.923,0.7,3.1,3.8,1.3,0.7,0.4,0.9,2.6,11.7
31879.0,2025,4900.0,Aaron Wiggins,,SG,26.0,4.0,NBA,OKC,70,23.0,22.7,4.6,9.3,0.491,1.7,4.4,0.39,2.9,4.9,0.581,0.583,0.8,1.0,0.826,1.1,2.7,3.8,1.7,0.8,0.3,0.8,1.3,11.7
31882.0,2025,5211.0,Adem Bona,,C,21.0,1.0,NBA,PHI,51,4.0,13.4,1.8,2.5,0.692,0.0,0.0,,1.8,2.5,0.692,0.692,1.0,1.4,0.7,1.4,2.3,3.6,0.4,0.4,1.0,0.8,2.0,4.5
31883.0,2025,5212.0,Ajay Mitchell,,SG,22.0,1.0,NBA,OKC,34,1.0,16.5,2.5,4.9,0.506,0.6,1.5,0.431,1.8,3.4,0.539,0.572,0.8,1.0,0.848,0.5,1.5,2.0,1.7,0.7,0.1,0.8,1.7,6.4
31884.0,2025,3734.0,Al Horford,,C,38.0,18.0,NBA,BOS,57,40.0,27.7,3.2,7.6,0.422,1.9,5.2,0.36,1.3,2.4,0.555,0.545,0.6,0.7,0.895,1.3,4.7,6.1,2.1,0.6,0.9,0.8,1.4,8.9
31885.0,2025,3982.0,Alec Burks,,SG,33.0,14.0,NBA,MIA,43,8.0,17.2,2.1,5.1,0.418,1.7,3.9,0.426,0.5,1.2,0.392,0.582,0.8,1.0,0.756,0.3,2.2,2.5,1.1,0.6,0.2,0.5,0.7,6.7
31886.0,2025,4465.0,Alex Caruso,,SG,30.0,8.0,NBA,OKC,50,2.0,19.2,2.5,5.7,0.447,1.1,3.2,0.354,1.4,2.5,0.563,0.546,0.7,0.9,0.814,0.7,2.2,2.9,2.6,1.6,0.6,0.7,1.8,6.9
31890.0,2025,4142.0,Alex Len,,C,31.0,12.0,NBA,LAL,9,3.0,12.1,0.9,2.0,0.444,0.1,0.2,0.5,0.8,1.8,0.438,0.472,0.1,0.4,0.25,1.4,1.8,3.2,0.8,0.1,0.2,0.7,1.7,2.0
31891.0,2025,5214.0,Alex Reese,,PF,25.0,1.0,NBA,TOT,12,0.0,15.3,1.8,3.7,0.477,0.9,2.7,0.344,0.8,1.0,0.833,0.602,0.5,0.7,0.75,0.7,2.6,3.3,0.3,0.8,0.7,0.4,1.4,4.9
31893.0,2025,5214.0,Alex Reese,,PF,25.0,1.0,NBA,PHI,11,0.0,16.5,1.8,3.9,0.465,1.0,2.9,0.344,0.8,1.0,0.818,0.593,0.5,0.7,0.75,0.6,2.8,3.5,0.3,0.8,0.7,0.5,1.5,5.2
31894.0,2025,5215.0,Alex Sarr,,C,19.0,1.0,NBA,WAS,60,60.0,27.1,4.8,12.2,0.395,1.6,5.1,0.318,3.2,7.2,0.45,0.461,1.7,2.6,0.662,2.0,4.6,6.6,2.3,0.7,1.6,1.6,2.2,13.0
31896.0,2025,4904.0,Alperen Şengün,,C,22.0,4.0,NBA,HOU,72,72.0,31.6,7.4,15.0,0.497,0.3,1.2,0.236,7.2,13.8,0.52,0.506,3.9,5.6,0.694,3.4,7.0,10.4,4.9,1.1,0.8,2.6,2.8,19.1
31897.0,2025,5113.0,Amen Thompson,,SF,22.0,2.0,NBA,HOU,65,38.0,32.4,5.6,10.1,0.554,0.4,1.3,0.267,5.3,8.8,0.597,0.571,2.5,3.7,0.682,2.8,5.5,8.3,3.7,1.4,1.3,2.0,2.4,14.1
31898.0,2025,4690.0,Amir Coffey,,SG,27.0,6.0,NBA,LAC,71,13.0,24.6,3.4,7.2,0.471,1.4,3.5,0.409,2.0,3.7,0.529,0.57,1.6,1.8,0.891,0.5,1.8,2.3,1.1,0.6,0.1,0.6,1.7,9.8
31899.0,2025,4064.0,Andre Drummond,,C,31.0,13.0,NBA,PHI,40,23.0,18.8,2.9,5.9,0.5,0.1,0.5,0.15,2.9,5.4,0.533,0.506,1.4,2.3,0.622,2.7,5.0,7.8,0.9,1.0,0.5,1.4,2.4,7.3
31900.0,2025,5114.0,Andre Jackson Jr.,,SG,23.0,2.0,NBA,MIL,62,43.0,14.9,1.4,3.0,0.465,0.5,1.2,0.387,0.9,1.8,0.518,0.543,0.2,0.4,0.545,1.0,1.8,2.8,1.3,0.5,0.2,0.9,1.8,3.5
31901.0,2025,5029.0,Andrew Nembhard,,SG,25.0,3.0,NBA,IND,59,59.0,29.1,3.8,8.3,0.466,0.8,2.7,0.312,3.0,5.6,0.539,0.516,1.7,2.2,0.791,0.5,2.8,3.3,5.1,1.2,0.2,1.8,2.3,10.3
31902.0,2025,4223.0,Andrew Wiggins,,SF,29.0,11.0,NBA,TOT,58,58.0,30.9,6.3,14.1,0.45,2.2,5.8,0.376,4.1,8.2,0.502,0.528,3.3,4.3,0.772,1.4,3.0,4.4,2.6,1.0,0.8,1.7,1.7,18.2
31903.0,2025,4223.0,Andrew Wiggins,,SF,29.0,11.0,NBA,GSW,43,43.0,30.1,6.1,13.7,0.444,2.2,5.8,0.379,3.9,7.9,0.491,0.524,3.2,4.2,0.777,1.5,3.0,4.6,2.4,0.9,0.8,1.3,1.6,17.6
31904.0,2025,4223.0,Andrew Wiggins,,SF,29.0,11.0,NBA,MIA,15,15.0,33.0,7.1,15.2,0.465,2.2,6.0,0.367,4.9,9.2,0.529,0.537,3.6,4.7,0.761,1.2,2.9,4.1,3.2,1.1,1.1,2.7,1.9,19.9
31905.0,2025,4586.0,Anfernee Simons,,SG,25.0,7.0,NBA,POR,70,70.0,32.7,6.8,16.1,0.426,3.1,8.5,0.363,3.8,7.6,0.496,0.521,2.5,2.8,0.902,0.4,2.3,2.7,4.8,0.9,0.1,2.0,1.7,19.3
31906.0,2025,5116.0,Anthony Black,,PG,21.0,2.0,NBA,ORL,72,9.0,23.9,3.3,7.7,0.424,0.8,2.5,0.316,2.5,5.3,0.475,0.475,2.0,2.6,0.761,0.6,2.2,2.8,3.1,1.0,0.6,1.8,2.1,9.3
31907.0,2025,4066.0,Anthony Davis,,PF,31.0,13.0,NBA,TOT,47,47.0,33.7,9.2,17.8,0.517,0.7,2.3,0.287,8.6,15.5,0.551,0.536,5.7,7.3,0.774,2.7,8.9,11.5,3.5,1.2,2.1,2.1,1.9,24.8
31908.0,2025,4066.0,Anthony Davis,,C,31.0,13.0,NBA,LAL,42,42.0,34.3,9.5,18.0,0.528,0.7,2.2,0.298,8.9,15.8,0.56,0.546,6.0,7.6,0.788,2.8,9.0,11.9,3.4,1.3,2.1,2.2,2.0,25.7
31909.0,2025,4066.0,Anthony Davis,,PF,31.0,13.0,NBA,DAL,5,5.0,29.0,6.6,15.8,0.418,0.6,2.8,0.214,6.0,13.0,0.462,0.437,2.8,4.8,0.583,1.2,7.4,8.6,4.4,0.6,1.4,0.8,1.6,16.6
31910.0,2025,4808.0,Anthony Edwards,,SG,23.0,5.0,NBA,MIN,72,72.0,36.2,9.0,20.3,0.441,4.0,10.1,0.395,5.0,10.2,0.486,0.539,5.3,6.3,0.839,0.8,4.9,5.7,4.6,1.1,0.6,3.2,1.8,27.2
31913.0,2025,5217.0,Antonio Reeves,,SG,24.0,1.0,NBA,NOP,37,1.0,11.5,1.9,4.1,0.464,0.9,2.2,0.427,1.0,1.9,0.507,0.578,0.3,0.4,0.8,0.4,0.8,1.2,0.7,0.4,0.1,0.6,0.6,5.1
