Players,Scouting Report,Sentiment Score
aaron gordon,"Ultra athletic forward who can jump out of the gym… You know him mostly for getting robbed at the dunk contest, but a pretty good all-around player actually… Excellent cutting to the basket… Great finisher at the rim… Nice rebounding and passing skills… More than decent defense… Embraced his new role next to Jokic… Poor shooter… Will never be the star that many thought he could become.",0.962
aaron holiday,"Point guard who can create his own offense or for teammates… Hits threes at a high rate… Excellent shooter with his feet set… Mostly runs as a backup… Lack of size hurts him on defense and finishing around the basket… However, a very underrated defensive player… Knows what sort of plays are happening and can jump in front of passing lanes.",0.2466
aaron nesmith,"Good size for a swingman at 6-foot-6 with a beautiful stroke on his three-point shot… Hit an astonishing 52.2 percent of his threes in his final season at Vanderbilt… His range extends to very deep parts of the court too… Super active off the ball, which helps him get open for looks from deep… Good length, which could help make up for his slow feet defensively… Tries hard on that end too… Has to improve passing, as he often looks for his own shot… Not a great finisher over length.",0.9653
al horford,"Despite what the raw averages may say, a very good defender thanks to positioning and instincts… Not a good rebounder for his position at this point, but he makes up for it with a well-rounded offensive game that includes outside shooting and a hook shot with either hand… Underrated playmaker out of the frontcourt… No flash, but a glue guy who makes teams better… Skill set has translated well as he has aged.",0.119
alec burks,"Quick, bucket-getting 2-guard… Can score from all three levels… Able to hit shots off the dribble, so he doesn’t always need teammates setting him up… Hits threes at just an average rate… Decent playmaker when setting up teammates… Won’t win you games thanks to his defense.",0.802
alex caruso,Tireless defender and fan favorite… Will fight for any loose ball… Tremendous defensive intensity… Can sometimes forecast how opposing offenses develop… Low-maintenance player… Great feel for the game… Explosive attacking the rim… Can’t create his own shot… Not much creativity as a primary playmaker either… Developed a decent three point shot… Cannot just leave open.,-0.3476
alex len,Displays good energy most nights… Not a very smooth player… That affects his post-up attempts… Decent right-hand hook shot… Basketball instinct isn’t the best on the court… Likes to spot up from the corners… A somewhat viable threat from out there… Average rebounder but a solid defender near the basket.,0.7535
alperen sengun,"
Do you find this scouting report inaccurate/outdated? Contact us here: hoopshype@hoopshype.com 
",0.0
amen thompson,"Winspan will give him a huge advantage in the NBA… Can get to the rim at will… Like Brandon Ingram/Kevin Durant, he can playmake and get teammates open looks… LIkes to handle the ball a lot… Needs to develop more off-ball offensively… Will need to show more as a perimeter shooter… Defenders will sag off him a lot and dare him to shoot… Potential is there.",0.836
amir coffey,Lefty guard with great size at 6-foot-8… Finishes above the rim… Freakish athleticism… At his best shooting from the outside with his feet set… Crafty ball-handler with a quick crossover… Solid burst as a ball-handler… Very effective in transition… Needs to keep developing that outside shot.,0.8805
andre drummond,The closest thing to an elite pure center in modern NBA… Good energy on the court… Splendid rebounder… Better handles and court vision than expected… Underwhelming rim protector considering his size… No shooting range outside the restricted zone… His free-throw shooting is still subpar… Lacks versatility… No longer a player that is sought after anymore due to his limited skillset.,0.7003
andre jackson jr.,"Superb athlete and great finisher for a guard… Super athletic… Likes to go coast to coast on transition… Knows when to cut to the rim for easy scores… Flash blocks especially for a guard… Good court vision, especially in transition… Solid defender… Can guard 1 to 4 due to his length and athleticism… Moves his feet well to stay in front of players… Can anticipate closeouts and eliminate them quickly… Poor catch-and-shoot player… Shooting form needs work… Will need to drastically improve his shot if he wants to be impactful.",0.971
andrew wiggins,"Supremely talented… Freakish athletic tools on the wing including size, length and explosiveness… Makes plays where he looks like an All-Star, but follows that up with stretches where he disappears… Consistency has improved in Golden State… Still has room to improve… Has lived up to his defensive upside… Wants the challenge to guard opposing teams’ best player.",0.9337
anfernee simons,"Showed his shot-making ability when given the minutes… It took years of development for him to get to this point, but looks like it paid off… Quick shooting mechanic… Converts threes at a good rate… Fearless slasher attacking the rim… Looks like he will be able to score a lot of points in his career… Can play make for teammates a bit, but he will need to improve much more here as opponents zero in on him… Needs to read the game better on the defensive end… Proven to be a legitimate starter, but needs an elite defensive wing teammate to hide his deficiencies on defense.",0.9707
anthony black,Length and size as a point guard make scouts salivate… Super skilled playmaker… Similar to Shaun Livingston… Jump shot is still a work in progress… But his work ethic is there… Disruptive on-ball defender… Has defensive instincts similar to Matise Thybulle… An absolute thief when players with the ball get near… Will probably need to watch hand-checking at the next level.,-0.714
anthony davis,"Can be dominant in both offense and defense… One of the top defensive players in the game when healthy… Great finisher at the rim… Perfect instincts as a shot blocker… Has added a respectable three-point shot… Can shoot from outside, but not very efficiently lately… Shouldn’t fall in love with his jumper too much… Can run the court, but maybe not as fast as before… Not as fluid of an athlete as he once was… Too injury-prone… Average passing skills for an elite big man nowadays.",0.8266
anthony edwards,"Prototypical size for a modern 2-guard with elite length and athleticism… Can get buckets from all three levels… Has an array of step-back and pull-up jumpers in his arsenal… Once he gets a head full of steam, he becomes very difficult to slow down… Has the potential to be an elite defender thanks to physical tools… However, right now, he’s not very good on that end… Also needs to work shot selection… He takes some shots that would make Dion Waiters blush… Doesn’t always play with high effort.",0.0732
