Players,Sentiment Score,Score_with_stats
aaron gordon,0.962,4.636
aaron holiday,0.2466,1.826
aaron nesmith,0.9653,3.849
al horford,0.119,3.674
alec burks,0.802,2.394
alex caruso,-0.3476,2.776
alex len,0.7535,1.215
amen thompson,0.836,5.362
amir coffey,0.8805,3.251
andre drummond,0.7003,3.063
andre jackson jr.,0.971,1.647
andrew wiggins,0.9337,5.636
andrew wiggins,0.9337,5.497
andrew wiggins,0.9337,6.075
anfernee simons,0.9707,5.908
anthony black,-0.714,3.353
anthony davis,0.8266,8.066
anthony davis,0.8266,8.305
anthony davis,0.8266,5.928
anthony edwards,0.0732,7.963
ausar thompson,0.9519,3.621
ayo dosunmu,0.0,4.427
bam adebayo,0.9598,6.351
ben sheppard,0.9403,2.2
ben simmons,0.9201,2.981
ben simmons,0.9201,3.265
ben simmons,0.9201,2.248
bennedict mathurin,0.5994,5.098
bilal coulibaly,0.9211,4.537
bismack biyombo,0.8591,2.418
blake wesley,0.4927,1.367
bobby portis,0.847,4.861
bol bol,-0.7964,2.415
bones hyland,0.0,1.986
bones hyland,0.0,2.19
bradley beal,0.5423,5.464
brandon clarke,-0.3901,3.093
brandon ingram,0.9236,6.831
brandon miller,0.8514,6.403
brice sensabaugh,0.9022,3.218
brook lopez,0.9348,4.578
bruce brown,0.8934,3.057
bruce brown,0.8934,3.006
bruce brown,0.8934,3.103
buddy hield,-0.5645,3.706
cj mccollum,0.8818,6.373
cade cunningham,0.0,8.063
caleb martin,0.5423,3.313
caleb martin,0.5423,3.616
caleb martin,0.5423,2.077
cam reddish,0.9094,1.6
cam thomas,0.0,6.767
cameron johnson,0.9541,5.807
caris levert,0.2975,4.012
caris levert,0.2975,3.643
caris levert,0.2975,4.767
cason wallace,0.9667,3.393
chet holmgren,-0.1805,5.106
chris boucher,0.6712,3.283
chris paul,0.9845,3.89
christian braun,0.6249,5.182
chuma okeke,0.7152,3.156
clint capela,0.0772,3.65
coby white,-0.7137,6.155
cody martin,0.5719,3.02
cody martin,0.5719,3.219
cody martin,0.5719,2.035
colby jones,0.69,3.116
cole anthony,0.9623,3.236
colin castleton,0.8885,1.893
colin castleton,0.8885,3.186
collin sexton,0.9207,5.421
cory joseph,-0.7351,1.397
daquan jeffries,0.8805,2.568
dalen terry,0.7579,1.713
damian lillard,-0.5542,7.59
daniel gafford,0.1022,4.295
daniel theis,0.9134,2.067
dante exum,-0.8599,3.035
darius garland,0.8108,6.345
david roddy,0.9217,1.829
david roddy,0.9217,1.786
deandre jordan,0.1265,1.815
demar derozan,-0.6819,6.768
dean wade,0.719,2.457
deandre ayton,0.7139,5.335
dejounte murray,0.4201,6.169
delon wright,0.9428,1.412
delon wright,0.9428,1.45
delon wright,0.9428,1.288
deni avdija,0.4744,5.462
derrick white,0.9168,5.574
desmond bane,0.476,6.184
devin booker,0.8655,7.624
devin vassell,0.835,5.294
dillon brooks,0.8248,4.538
domantas sabonis,0.9712,7.125
donovan mitchell,0.8957,7.097
donte divincenzo,0.9001,4.104
dorian finney-smith,0.5271,3.331
dorian finney-smith,0.5271,3.819
dorian finney-smith,0.5271,3.101
draymond green,0.9503,4.052
drew eubanks,0.4854,1.959
drew eubanks,0.4854,2.408
duncan robinson,0.3182,3.603
dwight powell,0.9574,1.195
dyson daniels,0.7792,5.328
elfrid payton,0.8979,2.326
elfrid payton,0.8979,2.846
elfrid payton,0.8979,1.403
eric gordon,0.0948,2.424
evan mobley,0.0,6.304
fred vanvleet,0.5867,5.182
gabe vincent,0.0772,2.388
garrison mathews,0.9217,2.461
gary harris,0.8442,1.315
gary trent jr.,-0.7178,3.587
georges niang,0.5363,3.325
georges niang,0.5363,3.007
georges niang,0.5363,4.096
giannis antetokounmpo,0.8428,9.391
goga bitadze,0.3818,3.195
gradey dick,0.9468,4.549
grant williams,0.8289,3.918
grayson allen,0.9178,3.487
harrison barnes,0.3962,3.939
haywood highsmith,0.1779,2.683
immanuel quickley,0.936,5.531
isaac okoro,0.9729,2.234
isaiah hartenstein,0.4215,4.834
isaiah joe,0.8766,3.295
isaiah stewart,-0.8176,2.714
ivica zubac,0.9037,6.199
ja morant,0.8805,6.824
jaden hardy,0.0,2.562
jaden ivey,0.719,5.475
jaden mcdaniels,0.9798,4.613
jae crowder,0.878,1.21
jake laravia,0.8674,2.779
jake laravia,0.8674,2.96
jake laravia,0.8674,2.363
jakob poeltl,0.8834,5.449
jalen brunson,-0.1638,7.767
jalen duren,-0.0015,4.654
jalen green,0.0,6.46
jalen johnson,0.6858,6.766
jalen pickett,0.7499,1.46
jalen smith,0.8979,2.96
jalen williams,0.8957,6.724
jalen wilson,-0.3818,3.257
jamal cain,0.9136,1.29
jamal murray,0.8089,6.838
james harden,0.8661,7.23
jarace walker,-0.5859,2.196
jaren jackson jr.,0.9403,6.63
jarred vanderbilt,0.3919,2.078
jarrett allen,0.4131,5.173
javonte green,0.128,2.269
javonte green,0.128,2.48
jaxson hayes,0.8294,2.78
jaylen brown,0.491,6.954
jaylen nowell,-0.1027,2.962
jayson tatum,0.6491,8.401
jeff green,0.0,1.719
jerami grant,0.9186,4.702
jeremy sochan,0.5499,4.173
jett howard,0.6131,1.441
jimmy butler,0.9298,5.813
jimmy butler,0.9298,5.688
jimmy butler,0.9298,5.93
jock landale,0.0,1.698
joel embiid,0.802,7.232
john collins,0.4577,6.082
john konchar,0.9432,1.383
jonathan isaac,-0.8923,2.219
jonathan kuminga,0.0,4.945
jordan clarkson,0.9062,4.942
jordan hawkins,-0.0243,3.489
jordan miller,-0.0757,1.632
jordan poole,0.9423,6.015
jose alvarado,0.0,3.583
josh green,0.9459,2.937
josh hart,0.7351,5.736
josh okogie,-0.3071,2.409
josh okogie,-0.3071,2.171
josh okogie,-0.3071,3.096
