Players,Sentiment Score,Score_with_stats,ast_per_game,stl_per_game,tov_per_game
aaron gordon,0.962,4.636,3.1,0.4,1.4
aaron holiday,0.2466,1.826,1.3,0.3,0.6
aaron nesmith,0.9653,3.849,1.3,0.7,0.9
al horford,0.119,3.674,2.1,0.6,0.8
alec burks,0.802,2.394,1.1,0.6,0.5
alex caruso,-0.3476,2.776,2.6,1.6,0.7
alex len,0.7535,1.215,0.8,0.1,0.7
amen thompson,0.836,5.362,3.7,1.4,2.0
amir coffey,0.8805,3.251,1.1,0.6,0.6
andre drummond,0.7003,3.063,0.9,1.0,1.4
andre jackson jr.,0.971,1.647,1.3,0.5,0.9
andrew wiggins,0.9337,5.636,2.6,1.0,1.7
andrew wiggins,0.9337,5.636,2.4,0.9,1.3
andrew wiggins,0.9337,5.636,3.2,1.1,2.7
andrew wiggins,0.9337,5.497,2.6,1.0,1.7
andrew wiggins,0.9337,5.497,2.4,0.9,1.3
andrew wiggins,0.9337,5.497,3.2,1.1,2.7
andrew wiggins,0.9337,6.075,2.6,1.0,1.7
andrew wiggins,0.9337,6.075,2.4,0.9,1.3
andrew wiggins,0.9337,6.075,3.2,1.1,2.7
anfernee simons,0.9707,5.908,4.8,0.9,2.0
anthony black,-0.714,3.353,3.1,1.0,1.8
anthony davis,0.8266,8.066,3.5,1.2,2.1
anthony davis,0.8266,8.066,3.4,1.3,2.2
anthony davis,0.8266,8.066,4.4,0.6,0.8
anthony davis,0.8266,8.305,3.5,1.2,2.1
anthony davis,0.8266,8.305,3.4,1.3,2.2
anthony davis,0.8266,8.305,4.4,0.6,0.8
anthony davis,0.8266,5.928,3.5,1.2,2.1
anthony davis,0.8266,5.928,3.4,1.3,2.2
anthony davis,0.8266,5.928,4.4,0.6,0.8
anthony edwards,0.0732,7.963,4.6,1.1,3.2
ausar thompson,0.9519,3.621,2.2,1.7,1.4
ayo dosunmu,0.0,4.427,4.5,0.9,1.5
bam adebayo,0.9598,6.351,4.3,1.3,2.1
ben sheppard,0.9403,2.2,1.3,0.6,0.4
ben simmons,0.9201,2.981,6.0,0.8,2.1
ben simmons,0.9201,2.981,6.9,0.8,2.7
ben simmons,0.9201,2.981,3.5,0.9,0.7
ben simmons,0.9201,3.265,6.0,0.8,2.1
ben simmons,0.9201,3.265,6.9,0.8,2.7
ben simmons,0.9201,3.265,3.5,0.9,0.7
ben simmons,0.9201,2.248,6.0,0.8,2.1
ben simmons,0.9201,2.248,6.9,0.8,2.7
ben simmons,0.9201,2.248,3.5,0.9,0.7
bennedict mathurin,0.5994,5.098,1.9,0.6,1.9
bilal coulibaly,0.9211,4.537,3.4,1.3,2.1
bismack biyombo,0.8591,2.418,1.3,0.7,0.9
blake wesley,0.4927,1.367,1.8,0.6,0.9
bobby portis,0.847,4.861,2.2,0.7,1.2
bol bol,-0.7964,2.415,0.6,0.3,0.6
bones hyland,0.0,1.986,1.4,0.8,1.1
bones hyland,0.0,1.986,1.4,0.9,1.2
bones hyland,0.0,2.19,1.4,0.8,1.1
bones hyland,0.0,2.19,1.4,0.9,1.2
bradley beal,0.5423,5.464,3.6,1.0,1.9
brandon clarke,-0.3901,3.093,1.0,0.8,0.6
brandon ingram,0.9236,6.831,5.2,0.9,3.8
brandon miller,0.8514,6.403,3.6,1.1,2.8
brice sensabaugh,0.9022,3.218,1.4,0.6,1.5
brook lopez,0.9348,4.578,1.8,0.7,1.0
bruce brown,0.8934,3.057,1.9,0.9,1.0
bruce brown,0.8934,3.057,1.6,0.9,1.1
bruce brown,0.8934,3.057,2.3,0.8,0.9
bruce brown,0.8934,3.006,1.9,0.9,1.0
bruce brown,0.8934,3.006,1.6,0.9,1.1
bruce brown,0.8934,3.006,2.3,0.8,0.9
bruce brown,0.8934,3.103,1.9,0.9,1.0
bruce brown,0.8934,3.103,1.6,0.9,1.1
bruce brown,0.8934,3.103,2.3,0.8,0.9
buddy hield,-0.5645,3.706,1.8,0.9,1.2
cj mccollum,0.8818,6.373,4.1,0.8,1.9
cade cunningham,0.0,8.063,9.2,1.0,4.5
caleb martin,0.5423,3.313,2.2,1.0,1.2
caleb martin,0.5423,3.313,2.2,1.1,1.4
caleb martin,0.5423,3.313,1.9,0.5,0.5
