| 스탯 항목          | 농구적 중요도 설명                | 가중치   |
| -------------- | ------------------------- | ----- |
| pts\_per\_game | 득점 능력, 팀 공헌도에 가장 직접적 영향   | 0.20  |
| ast\_per\_game | 플레이메이킹, 팀플레이 중심           | 0.10  |
| stl\_per\_game | 수비 지표 중 하나로 굉장히 높은 가치     | 0.08  |
| blk\_per\_game | 림 프로텍션, 인사이드 수비 기여        | 0.07  |
| fg\_percent    | 효율성 지표, 공격력의 질 측정         | 0.07  |
| x3p\_percent   | 현대 농구에선 3점 효율이 핵심         | 0.06  |
| trb\_per\_game | 리바운드 장악력은 포지션 상관 없이 매우 중요 | 0.07  |
| orb\_per\_game | 공격 리바운드: 추가 공격 기회 창출      | 0.03  |
| drb\_per\_game | 수비 리바운드: 상대 공격 종료         | 0.03  |
| fg\_per\_game  | 단순 시도보다 실질 성공 횟수도 중요      | 0.05  |
| mp\_per\_game  | 출전 시간은 신뢰도 및 체력 지표        | 0.03  |
| tov\_per\_game | 턴오버는 감점 요인                | -0.06 |
| pf\_per\_game  | 파울도 감점 요인                 | -0.02 |
